LABEL,CODE
DIAGNOSIS_01166,01166
DIAGNOSIS_01170,01170
DIAGNOSIS_01171,01171
DIAGNOSIS_01172,01172
DIAGNOSIS_01173,01173
DIAGNOSIS_01174,01174
DIAGNOSIS_01175,01175
DIAGNOSIS_01176,01176
DIAGNOSIS_01180,01180
DIAGNOSIS_01181,01181
DIAGNOSIS_01182,01182
DIAGNOSIS_01183,01183
DIAGNOSIS_01184,01184
DIAGNOSIS_01185,01185
DIAGNOSIS_01186,01186
DIAGNOSIS_01190,01190
DIAGNOSIS_01191,01191
DIAGNOSIS_01192,01192
DIAGNOSIS_01193,01193
DIAGNOSIS_01194,01194
DIAGNOSIS_01195,01195
DIAGNOSIS_01196,01196
DIAGNOSIS_01200,01200
DIAGNOSIS_01201,01201
DIAGNOSIS_01202,01202
DIAGNOSIS_01203,01203
DIAGNOSIS_01204,01204
DIAGNOSIS_01205,01205
DIAGNOSIS_01206,01206
DIAGNOSIS_01210,01210
DIAGNOSIS_01211,01211
DIAGNOSIS_01212,01212
DIAGNOSIS_01213,01213
DIAGNOSIS_01214,01214
DIAGNOSIS_01215,01215
DIAGNOSIS_01216,01216
DIAGNOSIS_01220,01220
DIAGNOSIS_01221,01221
DIAGNOSIS_01222,01222
DIAGNOSIS_01223,01223
DIAGNOSIS_01224,01224
DIAGNOSIS_01225,01225
DIAGNOSIS_01226,01226
DIAGNOSIS_01230,01230
DIAGNOSIS_01231,01231
DIAGNOSIS_01232,01232
DIAGNOSIS_01233,01233
DIAGNOSIS_01234,01234
DIAGNOSIS_01235,01235
DIAGNOSIS_01792,01792
DIAGNOSIS_01236,01236
DIAGNOSIS_01280,01280
DIAGNOSIS_01281,01281
DIAGNOSIS_01282,01282
DIAGNOSIS_01283,01283
DIAGNOSIS_01284,01284
DIAGNOSIS_01285,01285
DIAGNOSIS_01286,01286
DIAGNOSIS_01300,01300
DIAGNOSIS_01301,01301
DIAGNOSIS_0010,0010
DIAGNOSIS_0011,0011
DIAGNOSIS_0019,0019
DIAGNOSIS_0020,0020
DIAGNOSIS_0021,0021
DIAGNOSIS_0022,0022
DIAGNOSIS_0023,0023
DIAGNOSIS_0029,0029
DIAGNOSIS_0030,0030
DIAGNOSIS_0031,0031
DIAGNOSIS_00320,00320
DIAGNOSIS_00321,00321
DIAGNOSIS_00322,00322
DIAGNOSIS_00323,00323
DIAGNOSIS_00324,00324
DIAGNOSIS_00329,00329
DIAGNOSIS_0038,0038
DIAGNOSIS_0039,0039
DIAGNOSIS_0040,0040
DIAGNOSIS_0041,0041
DIAGNOSIS_0042,0042
DIAGNOSIS_0043,0043
DIAGNOSIS_0048,0048
DIAGNOSIS_0049,0049
DIAGNOSIS_0050,0050
DIAGNOSIS_0051,0051
DIAGNOSIS_0052,0052
DIAGNOSIS_0053,0053
DIAGNOSIS_0054,0054
DIAGNOSIS_00581,00581
DIAGNOSIS_00589,00589
DIAGNOSIS_0059,0059
DIAGNOSIS_0060,0060
DIAGNOSIS_0061,0061
DIAGNOSIS_0062,0062
DIAGNOSIS_01676,01676
DIAGNOSIS_01690,01690
DIAGNOSIS_01691,01691
DIAGNOSIS_01692,01692
DIAGNOSIS_01693,01693
DIAGNOSIS_01694,01694
DIAGNOSIS_01695,01695
DIAGNOSIS_01696,01696
DIAGNOSIS_01700,01700
DIAGNOSIS_01701,01701
DIAGNOSIS_01702,01702
DIAGNOSIS_01703,01703
DIAGNOSIS_01704,01704
DIAGNOSIS_01705,01705
DIAGNOSIS_01706,01706
DIAGNOSIS_01710,01710
DIAGNOSIS_01711,01711
DIAGNOSIS_01712,01712
DIAGNOSIS_01713,01713
DIAGNOSIS_01714,01714
DIAGNOSIS_01715,01715
DIAGNOSIS_01716,01716
DIAGNOSIS_01720,01720
DIAGNOSIS_01721,01721
DIAGNOSIS_01722,01722
DIAGNOSIS_01723,01723
DIAGNOSIS_01724,01724
DIAGNOSIS_01725,01725
DIAGNOSIS_01726,01726
DIAGNOSIS_01730,01730
DIAGNOSIS_01731,01731
DIAGNOSIS_01732,01732
DIAGNOSIS_01733,01733
DIAGNOSIS_01734,01734
DIAGNOSIS_01735,01735
DIAGNOSIS_01736,01736
DIAGNOSIS_01740,01740
DIAGNOSIS_01741,01741
DIAGNOSIS_01742,01742
DIAGNOSIS_01743,01743
DIAGNOSIS_01744,01744
DIAGNOSIS_01745,01745
DIAGNOSIS_01746,01746
DIAGNOSIS_01750,01750
DIAGNOSIS_01751,01751
DIAGNOSIS_01752,01752
