LABEL,CODE,DESC
DIAGNOSIS_01166,01166,"Tuberculous pneumonia [any form]\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01170,01170,"Tuberculous pneumothorax\, unspecified"
DIAGNOSIS_01171,01171,"Tuberculous pneumothorax\, bacteriological or histological examination not done"
DIAGNOSIS_01172,01172,"Tuberculous pneumothorax\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01173,01173,"Tuberculous pneumothorax\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01174,01174,"Tuberculous pneumothorax\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01175,01175,"Tuberculous pneumothorax\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01176,01176,"Tuberculous pneumothorax\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01180,01180,"Other specified pulmonary tuberculosis\, unspecified"
DIAGNOSIS_01181,01181,"Other specified pulmonary tuberculosis\, bacteriological or histological examination not done"
DIAGNOSIS_01182,01182,"Other specified pulmonary tuberculosis\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01183,01183,"Other specified pulmonary tuberculosis\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01184,01184,"Other specified pulmonary tuberculosis\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
DIAGNOSIS_01185,01185,"Other specified pulmonary tuberculosis\, tubercle bacilli not found by bacteriological examination\, but tuberculosis confirmed histologically"
DIAGNOSIS_01186,01186,"Other specified pulmonary tuberculosis\, tubercle bacilli not found by bacteriological or histological examination\, but tuberculosis confirmed by other methods [inoculation of animals]"
DIAGNOSIS_01190,01190,"Pulmonary tuberculosis\, unspecified\, unspecified"
DIAGNOSIS_01191,01191,"Pulmonary tuberculosis\, unspecified\, bacteriological or histological examination not done"
DIAGNOSIS_01192,01192,"Pulmonary tuberculosis\, unspecified\, bacteriological or histological examination unknown (at present)"
DIAGNOSIS_01193,01193,"Pulmonary tuberculosis\, unspecified\, tubercle bacilli found (in sputum) by microscopy"
DIAGNOSIS_01194,01194,"Pulmonary tuberculosis\, unspecified\, tubercle bacilli not found (in sputum) by microscopy\, but found by bacterial culture"
