,Phenotype,Type,Train,Test,AUC-ROC
0,Acute and unspecified renal failure,acute,0.217,0.215,0
1,Acute cerebrovascular disease,acute,0.073,0.065,0
2,Acute myocardial infarction,acute,0.104,0.108,0
3,Cardiac dysrhythmias,chronic,0.323,0.326,0
4,Chronic kidney disease,chronic,0.135,0.134,0
5,Chronic obstructive pulmonary disease and bronchiectasis,chronic,0.132,0.127,0
6,Complications of surgical procedures or medical care,acute,0.209,0.215,0
7,Conduction disorders,chronic,0.072,0.072,0
8,Congestive heart failure; nonhypertensive,acute,0.271,0.272,0
9,Coronary atherosclerosis and other heart disease,chronic,0.324,0.333,0
10,Diabetes mellitus with complications,chronic,0.097,0.096,0
11,Diabetes mellitus without complication,chronic,0.194,0.194,0
12,Disorders of lipid metabolism,chronic,0.292,0.290,0
13,Essential hypertension,chronic,0.419,0.423,0
14,Fluid and electrolyte disorders,acute,0.272,0.268,0
15,Gastrointestinal hemorrhage,acute,0.073,0.079,0
16,Hypertension with complications and secondary hypertension,chronic,0.134,0.132,0
17,Other liver diseases,acute,0.090,0.090,0
18,Other lower respiratory disease,acute,0.051,0.057,0
19,Other upper respiratory disease,acute,0.040,0.043,0
20,Pleurisy; pneumothorax; pulmonary collapse,acute,0.088,0.092,0
21,Pneumonia (except that caused by tuberculosis or sexually transmitted disease),acute,0.141,0.137,0
22,Respiratory failure; insufficiency; arrest (adult),acute,0.182,0.179,0
23,Septicemia (except in labor),acute,0.145,0.141,0
24,Shock,acute,0.079,0.082,0
